episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,-3.463,0,0,1,2,2
1,-3.941,0,0,1,1,1
2,-8.828,9,0,0,3,12
3,-3.463,0,0,1,2,2
4,-2.379999999999999,1,0,1,3,4
5,21.273999999999997,7,4,1,3,10
6,2.9500000000000006,3,1,1,3,6
7,-4.902,2,0,1,3,5
8,8.115,9,2,0,3,12
9,-3.904,1,0,1,3,4
10,-3.968,0,0,1,1,1
11,-2.85,0,0,1,3,3
12,-3.2279999999999998,0,0,1,3,3
13,-3.355,0,0,1,2,2
14,9.538,3,2,1,3,6
15,-3.660999999999999,1,0,1,3,4
16,-3.2279999999999998,0,0,1,3,3
17,-3.4359999999999995,0,0,1,2,2
18,0.7010000000000005,6,1,1,3,9
19,21.571,7,4,1,3,10
20,-3.0269999999999997,2,0,1,3,5
21,-3.0659999999999994,0,0,1,3,3
22,-3.1639999999999997,0,0,1,1,1
23,-3.2279999999999998,0,0,1,3,3
24,-3.5439999999999996,0,0,1,2,2
25,1.846,4,1,1,3,7
26,-1.2119999999999989,6,1,1,3,9
27,22.073000000000004,5,4,1,3,8
28,-3.968,0,0,1,1,1
29,-3.5439999999999996,0,0,1,2,2
30,2.386,2,1,1,3,5
31,1.3600000000000012,4,1,1,3,7
32,-3.463,0,0,1,2,2
33,9.153000000000002,3,2,1,3,6
34,7.1480000000000015,5,2,1,3,8
35,21.647000000000002,9,4,0,3,12
36,-3.4359999999999995,0,0,1,2,2
37,-3.5439999999999996,0,0,1,2,2
38,-1.2119999999999989,6,1,1,3,9
39,5.015000000000003,7,2,1,3,10
40,-3.463,0,0,1,2,2
41,-4.577999999999999,2,0,1,3,5
42,-3.941,0,0,1,1,1
43,-3.5439999999999996,0,0,1,2,2
44,-3.0659999999999994,0,0,1,3,3
45,-3.941,0,0,1,1,1
46,-3.904,1,0,1,3,4
47,2.115000000000001,3,1,1,3,6
48,0.9480000000000013,4,1,1,3,7
49,-3.355,0,0,1,2,2
50,1.4220000000000004,3,1,1,3,6
51,30.202,9,5,0,3,12
52,10.352,4,2,1,3,7
53,7.606000000000001,4,2,1,3,7
54,2.8480000000000016,4,1,1,3,7
55,-2.85,0,0,1,3,3
56,-7.114,4,0,1,3,7
57,-3.904,1,0,1,3,4
58,-0.9450000000000012,7,1,1,3,10
59,8.215000000000002,7,2,1,3,10
60,-3.0659999999999994,0,0,1,3,3
61,22.473000000000003,9,4,0,3,12
62,-2.0279999999999996,0,0,1,3,3
63,-3.463,0,0,1,2,2
64,22.091999999999995,6,4,1,3,9
65,-3.0119999999999996,0,0,1,3,3
66,-5.566999999999999,3,0,1,3,6
67,8.342000000000002,4,2,1,3,7
68,16.660999999999998,9,3,0,3,12
69,-3.932,0,0,1,1,1
70,-3.9050000000000002,0,0,1,1,1
71,-3.4359999999999995,0,0,1,2,2
72,9.854000000000001,2,2,1,3,5
73,-3.932,0,0,1,1,1
74,-3.4359999999999995,0,0,1,2,2
75,4.742000000000001,3,1,1,3,6
76,9.812999999999999,5,2,1,3,8
77,-2.533,0,0,1,2,2
78,-7.852000000000001,6,0,1,3,9
79,-3.5439999999999996,0,0,1,2,2
80,-3.4359999999999995,0,0,1,2,2
81,12.476,7,3,1,3,10
82,-3.337,1,0,1,3,4
83,-3.9050000000000002,0,0,1,1,1
84,-3.941,0,0,1,1,1
85,29.367,9,5,0,3,12
86,5.735,7,2,1,3,10
87,-3.463,0,0,1,2,2
88,-2.3169999999999997,1,0,1,3,4
89,-3.968,0,0,1,1,1
90,21.647000000000002,9,4,0,3,12
91,-4.902,2,0,1,3,5
92,33.087,9,5,0,3,12
93,-3.968,0,0,1,1,1
94,-0.564000000000001,6,1,1,3,9
95,15.285000000000004,5,3,1,3,8
96,28.770000000000003,8,5,1,3,11
97,7.641000000000001,5,2,1,3,8
98,-1.206,0,0,1,3,3
99,-3.932,0,0,1,1,1
100,-0.35800000000000054,5,1,1,3,8
101,-3.355,0,0,1,2,2
102,8.486,4,2,1,3,7
103,0.4240000000000004,4,1,1,3,7
104,46.64999999999999,9,7,0,3,12
105,-0.2839999999999989,5,1,1,3,8
106,-3.9050000000000002,0,0,1,1,1
107,-3.941,0,0,1,1,1
108,0.9480000000000013,4,1,1,3,7
109,-3.0659999999999994,0,0,1,3,3
110,-3.0659999999999994,0,0,1,3,3
111,-3.9079999999999995,3,0,1,3,6
112,2.8180000000000005,2,1,1,3,5
113,-3.968,0,0,1,1,1
114,8.542000000000002,4,2,1,3,7
115,21.011000000000003,9,4,1,3,12
116,13.796000000000003,6,3,1,3,9
117,9.212,5,2,1,3,8
118,-3.2279999999999998,0,0,1,3,3
119,-3.941,0,0,1,1,1
