episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,-2.703999999999999,5,1,1,0,5
1,0.06199999999999939,2,1,1,0,2
2,0.06199999999999939,2,1,1,0,2
3,-13.909999999999997,12,0,0,0,12
4,-5.925999999999999,2,0,1,0,2
5,-1.9019999999999997,4,1,1,0,4
6,10.746000000000002,10,4,1,0,10
7,-3.865999999999999,6,1,1,0,6
8,-2.8479999999999994,5,1,1,0,5
9,-7.889999999999999,4,0,1,0,4
10,4.517999999999999,4,2,1,0,4
11,-5.052,1,0,1,0,1
12,-0.7399999999999993,3,1,1,0,3
13,-0.8839999999999995,3,1,1,0,3
14,0.06199999999999939,2,1,1,0,2
15,2.410000000000001,6,2,1,0,6
16,-0.7399999999999993,3,1,1,0,3
17,-0.8839999999999995,3,1,1,0,3
18,-5.925999999999999,2,0,1,0,2
19,-1.219999999999998,9,2,1,0,9
20,16.734,10,5,1,0,10
21,-0.7399999999999993,3,1,1,0,3
22,8.686000000000002,6,3,1,0,6
23,10.434,4,3,1,0,4
24,-6.872,3,0,1,0,3
25,14.196000000000002,7,4,1,0,7
26,1.3200000000000012,7,2,1,0,7
27,-1.219999999999998,9,2,1,0,9
28,30.817999999999998,8,7,1,0,8
29,3.571999999999999,5,2,1,0,5
30,0.06199999999999939,2,1,1,0,2
31,-5.925999999999999,2,0,1,0,2
32,-11.375999999999998,7,0,1,0,7
33,-5.052,1,0,1,0,1
34,45.501999999999995,12,10,1,0,12
35,-0.7399999999999993,3,1,1,0,3
36,18.262000000000004,12,5,0,0,12
37,4.517999999999999,4,2,1,0,4
38,-5.925999999999999,2,0,1,0,2
39,12.232,9,4,1,0,9
40,17.453999999999997,10,5,1,0,10
41,4.517999999999999,4,2,1,0,4
42,9.559999999999999,5,3,1,0,5
43,-5.052,1,0,1,0,1
44,0.06199999999999939,2,1,1,0,2
45,10.602000000000004,10,4,1,0,10
46,14.89,6,4,1,0,6
47,4.23,4,2,1,0,4
48,8.686000000000002,6,3,1,0,6
49,1.4640000000000013,7,2,1,0,7
50,0.06199999999999939,2,1,1,0,2
51,1.9780000000000006,6,2,1,0,6
52,-5.052,1,0,1,0,1
53,-6.872,3,0,1,0,3
54,7.1640000000000015,7,3,1,0,7
55,1.4640000000000013,7,2,1,0,7
56,5.247999999999998,3,2,1,0,3
57,-11.375999999999998,7,0,1,0,7
58,-1.9019999999999997,4,1,1,0,4
59,4.758,10,3,1,0,10
60,-5.052,1,0,1,0,1
61,-5.925999999999999,2,0,1,0,2
62,-0.7399999999999993,3,1,1,0,3
63,12.706,12,4,0,0,12
64,0.06199999999999939,2,1,1,0,2
65,18.076000000000004,9,5,1,0,9
66,-6.872,3,0,1,0,3
67,-10.142,6,0,1,0,6
68,7.308,7,3,1,0,7
69,-5.052,1,0,1,0,1
70,4.23,4,2,1,0,4
71,5.247999999999998,3,2,1,0,3
72,-5.925999999999999,2,0,1,0,2
73,21.355999999999998,5,5,1,0,5
74,-5.052,1,0,1,0,1
75,5.4879999999999995,9,3,1,0,9
76,-4.009999999999998,6,1,1,0,6
77,6.722,8,3,1,0,8
78,0.06199999999999939,2,1,1,0,2
79,6.244000000000001,9,3,1,0,9
80,0.06199999999999939,2,1,1,0,2
81,0.06199999999999939,2,1,1,0,2
82,-2.669999999999998,10,2,1,0,10
83,4.23,4,2,1,0,4
84,-5.052,1,0,1,0,1
85,-5.052,1,0,1,0,1
86,24.394,12,6,0,0,12
87,0.06199999999999939,2,1,1,0,2
88,-5.925999999999999,2,0,1,0,2
89,-7.889999999999999,4,0,1,0,4
90,-5.052,1,0,1,0,1
91,10.834000000000003,12,4,0,0,12
92,-2.703999999999999,5,1,1,0,5
93,17.974000000000004,12,5,0,0,12
94,5.906,2,2,1,0,2
95,5.776000000000002,9,3,1,0,9
96,25.189999999999998,8,6,1,0,8
97,-0.7399999999999993,3,1,1,0,3
98,13.429999999999996,8,4,1,0,8
99,-0.7399999999999993,3,1,1,0,3
100,0.06199999999999939,2,1,1,0,2
101,0.734,8,2,1,0,8
102,-5.925999999999999,2,0,1,0,2
103,13.584,7,4,1,0,7
104,4.23,4,2,1,0,4
105,31.534000000000002,12,7,0,0,12
106,0.15800000000000214,8,2,1,0,8
107,-5.052,1,0,1,0,1
108,0.792,1,1,1,0,1
109,-5.099999999999998,7,1,1,0,7
110,5.247999999999998,3,2,1,0,3
111,16.302,10,5,1,0,10
112,-1.9019999999999997,4,1,1,0,4
113,3.428000000000001,5,2,1,0,5
114,-5.052,1,0,1,0,1
115,1.032000000000001,7,2,1,0,7
116,14.482000000000003,12,5,1,0,12
117,-0.8839999999999995,3,1,1,0,3
118,6.578000000000002,8,3,1,0,8
119,-0.7399999999999993,3,1,1,0,3
