episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,-1.1879999999999997,2,1,1,0,2
1,5.186000000000002,5,2,0,3,12
2,-7.636000000000001,2,0,1,2,4
3,-7.9559999999999995,1,0,1,0,1
4,-7.9559999999999995,1,0,1,0,1
5,-8.498,2,0,1,3,5
6,-1.1879999999999997,2,1,1,0,2
7,-7.634,1,0,1,1,2
8,-8.475999999999999,2,0,1,2,4
9,-7.9559999999999995,1,0,1,0,1
10,3.488000000000001,6,2,0,3,12
11,-8.69,2,0,1,3,5
12,5.6960000000000015,6,2,0,3,12
13,6.4719999999999995,2,2,1,0,2
14,10.535999999999996,6,3,1,3,10
15,16.368,4,3,0,3,12
16,-0.7700000000000014,2,1,1,1,3
17,7.491999999999999,2,2,1,2,4
18,-0.7700000000000014,2,1,1,1,3
19,-0.29599999999999993,1,1,1,0,1
20,-4.506,5,1,1,3,8
21,-7.602,1,0,1,1,2
22,-1.1179999999999979,3,1,0,3,12
23,-9.1,2,0,1,2,4
24,5.740000000000002,4,2,0,3,12
25,5.6080000000000005,6,2,0,3,12
26,-7.9559999999999995,1,0,1,0,1
27,-0.29599999999999993,1,1,1,0,1
28,-3.637999999999999,4,1,1,3,7
29,7.017999999999999,2,2,1,1,3
30,5.831999999999999,6,2,0,3,12
31,-0.6980000000000004,3,1,1,3,6
32,6.002000000000001,5,2,0,3,12
33,-7.9559999999999995,1,0,1,0,1
34,-7.9559999999999995,1,0,1,0,1
35,15.100000000000003,6,3,0,3,12
36,5.926000000000002,3,2,0,3,12
37,4.841999999999999,5,2,1,3,8
38,-0.8260000000000005,2,1,1,1,3
39,-1.1879999999999997,2,1,1,0,2
40,-1.1879999999999997,2,1,1,0,2
41,14.315999999999999,3,3,1,2,5
42,-11.707999999999998,4,0,1,2,6
43,7.419999999999999,2,2,1,2,4
44,-7.9559999999999995,1,0,1,0,1
45,-7.602,1,0,1,1,2
46,-2.7059999999999995,3,1,1,3,6
47,1.6100000000000012,4,2,1,3,9
48,-7.9559999999999995,1,0,1,0,1
49,-7.9559999999999995,1,0,1,0,1
50,-0.29599999999999993,1,1,1,0,1
51,-1.9400000000000004,3,1,1,2,5
52,7.017999999999999,2,2,1,1,3
53,12.382000000000001,5,3,1,3,8
54,6.622000000000002,3,2,0,3,12
55,-7.634,1,0,1,1,2
56,-7.35,1,0,1,3,4
57,-0.7519999999999989,2,1,1,2,4
58,-3.5639999999999996,6,1,0,3,12
59,-1.1879999999999997,2,1,1,0,2
60,-7.35,1,0,1,3,4
61,-7.9559999999999995,1,0,1,0,1
62,-1.1620000000000008,3,1,1,3,6
63,-3.389999999999999,4,1,1,3,7
64,-1.1879999999999997,2,1,1,0,2
65,-0.11200000000000043,4,1,0,3,12
66,8.085999999999999,2,2,1,3,5
67,-1.1879999999999997,2,1,1,0,2
68,-5.845999999999998,6,1,1,3,9
69,-7.856,1,0,1,2,3
70,-7.634,1,0,1,1,2
71,-0.8260000000000005,2,1,1,1,3
72,-7.9559999999999995,1,0,1,0,1
73,-8.298,2,0,1,3,5
74,23.251999999999995,4,4,0,3,12
75,7.049999999999999,2,2,1,1,3
76,7.049999999999999,2,2,1,1,3
77,7.025999999999999,2,2,1,1,3
78,-10.786,3,0,0,3,12
79,-2.395999999999999,3,1,1,2,5
80,-6.5920000000000005,1,0,1,2,3
81,-0.48800000000000043,2,1,1,2,4
82,-1.1879999999999997,2,1,1,0,2
83,-14.725999999999999,3,0,1,3,10
84,7.670000000000002,3,2,0,3,12
85,-7.4559999999999995,1,0,1,2,3
86,-7.9559999999999995,1,0,1,0,1
87,-1.9400000000000004,3,1,1,2,5
88,-0.36599999999999866,3,1,0,3,12
89,-8.434,2,0,1,3,5
90,3.6000000000000014,5,2,1,3,9
91,-0.7940000000000005,2,1,1,1,3
92,-7.6579999999999995,1,0,1,1,2
93,-1.904,6,2,1,3,12
94,4.674000000000001,5,2,0,3,12
95,-0.24600000000000044,2,1,1,3,5
96,-1.1879999999999997,2,1,1,0,2
97,-7.6579999999999995,1,0,1,1,2
98,6.679999999999999,3,2,1,2,5
99,-1.193999999999999,3,1,1,3,6
100,-1.3860000000000001,8,2,1,3,11
101,-7.6579999999999995,1,0,1,1,2
102,-8.7,2,0,1,2,4
103,-4.856,3,1,1,3,9
104,9.691999999999997,4,2,0,3,12
105,-8.006,1,0,1,3,4
106,-0.8020000000000014,2,1,1,1,3
107,-7.9559999999999995,1,0,1,0,1
108,-0.7940000000000005,2,1,1,1,3
109,14.611999999999998,6,3,0,3,12
110,-7.9559999999999995,1,0,1,0,1
111,3.801999999999998,5,2,1,3,8
112,-1.1879999999999997,2,1,1,0,2
113,-10.781999999999998,1,0,0,3,12
114,6.4719999999999995,2,2,1,0,2
115,-4.545999999999999,5,1,1,3,8
116,-0.29599999999999993,1,1,1,0,1
117,-7.6579999999999995,1,0,1,1,2
118,-7.9559999999999995,1,0,1,0,1
119,-7.9559999999999995,1,0,1,0,1
