algorithm,seed,episode,global_timestep,episode_step,action_id,action_name,reward,done,truncated,accepted,abandoned,question_asked,over_budget,recommended,genre_recommended,user_type,step_count,obs_uncertainty,obs_engagement,obs_budget_ratio,obs_step_ratio,epsilon,cumulative_reward
q_learning,42,0,1,1,10,rec_documentary,-0.35199999999999987,False,False,False,False,False,False,True,documentary,action_focused,1,0.7599999904632568,0.7200000286102295,1.0,0.0833333358168602,1.0,-0.35199999999999987
q_learning,42,0,2,2,4,q_fast_paced,0.49600000000000016,False,False,False,False,True,False,False,,action_focused,2,0.8100000023841858,0.6399999856948853,0.6666666865348816,0.1666666716337204,1.0,0.1440000000000003
q_learning,42,0,3,3,2,q_serious,0.4240000000000001,False,False,False,False,True,False,False,,action_focused,3,0.8600000143051147,0.5600000023841858,0.3333333432674408,0.25,1.0,0.5680000000000004
q_learning,42,0,4,4,10,rec_documentary,-0.5679999999999998,False,False,False,False,False,False,True,documentary,action_focused,4,0.9200000166893005,0.47999998927116394,0.3333333432674408,0.3333333432674408,1.0,5.551115123125783e-16
q_learning,42,0,5,5,3,q_light,-4.22,True,False,False,True,True,False,False,,action_focused,5,0.9700000286102295,0.4000000059604645,0.0,0.4166666567325592,1.0,-4.219999999999999
q_learning,42,1,6,1,2,q_serious,0.5590000000000002,False,False,False,False,True,False,False,,novelty_seeking,1,0.75,0.7099999785423279,0.6666666865348816,0.0833333358168602,0.995,0.5590000000000002
q_learning,42,1,7,2,1,q_exploratory,-4.022,True,False,False,True,True,False,False,,novelty_seeking,2,0.800000011920929,0.6200000047683716,0.3333333432674408,0.1666666716337204,0.995,-3.463
q_learning,42,2,8,1,5,q_calm,-3.941,True,False,False,True,True,False,False,,novelty_seeking,1,0.75,0.7099999785423279,0.6666666865348816,0.0833333358168602,0.990025,-3.941
q_learning,42,3,9,1,4,q_fast_paced,0.5320000000000001,False,False,False,False,True,False,False,,question_sensitive,1,0.75,0.6800000071525574,0.6666666865348816,0.0833333358168602,0.985074875,0.5320000000000001
q_learning,42,3,10,2,9,rec_scifi,-0.45999999999999985,False,False,False,False,False,False,True,scifi,question_sensitive,2,0.8100000023841858,0.6000000238418579,0.6666666865348816,0.1666666716337204,0.985074875,0.07200000000000029
q_learning,42,3,11,3,8,rec_drama,-0.5319999999999998,False,False,False,False,False,False,True,drama,question_sensitive,3,0.8700000047683716,0.5199999809265137,0.6666666865348816,0.25,0.985074875,-0.4599999999999995
q_learning,42,3,12,4,10,rec_documentary,-0.6039999999999999,False,False,False,False,False,False,True,documentary,question_sensitive,4,0.9300000071525574,0.4399999976158142,0.6666666865348816,0.3333333432674408,0.985074875,-1.0639999999999994
q_learning,42,3,13,5,2,q_serious,0.20800000000000007,False,False,False,False,True,False,False,,question_sensitive,5,0.9800000190734863,0.3199999928474426,0.3333333432674408,0.4166666567325592,0.985074875,-0.8559999999999993
q_learning,42,3,14,6,3,q_light,0.1000000000000001,False,False,False,False,True,False,False,,question_sensitive,6,1.0,0.20000000298023224,0.0,0.5,0.985074875,-0.7559999999999992
